,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2015-07-28,27.38285688344329,1.8276075306953425,23.93184376763503,-6.1102030219476875,-80.50513546734324,30.861727616330697,54.663245078223504,-42.41330223010066,-124.39522019370213,-1.2817957340000379
2015-07-29,27.38285688344329,1.8276075306953425,23.93184376763503,-6.1102030219476875,-80.50513546734324,30.861727616330697,54.663245078223504,-42.41330223010066,-124.39522019370213,-3.1393625210698315
2015-07-30,29.07896996598082,1.8276075306953425,23.93184376763503,-6.1102030219476875,-80.50513546734324,36.38872134973621,54.663245078223504,-42.41330223010066,-124.39522019370213,-3.1393625210698315
2015-07-31,29.07896996598082,1.8276075306953425,23.93184376763503,-6.1102030219476875,-80.50513546734324,36.38872134973621,54.663245078223504,-42.41330223010066,-124.39522019370213,-3.1393625210698315
2015-08-03,29.07896996598082,1.8276075306953425,23.93184376763503,-6.1102030219476875,-80.50513546734324,41.9579123279461,60.06356905401422,-42.41330223010066,-125.943687693939,-3.1393625210698315
2015-08-04,29.07896996598082,5.612643752862159,23.93184376763503,-6.1102030219476875,-80.50513546734324,62.61427163454082,64.99234227762152,-42.41330223010066,-125.943687693939,-3.1393625210698315
2015-08-05,29.07896996598082,5.612643752862159,23.93184376763503,-6.1102030219476875,-80.50513546734324,62.61427163454082,64.99234227762152,-46.91369712726158,-125.943687693939,-4.985578080415081
2015-08-06,30.826678747898782,5.612643752862159,26.69569585869781,-8.87405511301047,-82.62632989851346,68.7197886946821,70.16096571383389,-53.350203079495316,-125.943687693939,-4.985578080415081
2015-08-07,33.26418113193219,5.612643752862159,26.69569585869781,-11.31155749704388,-80.96411630814988,86.83948224322461,71.13257462037083,-55.17738133611907,-125.943687693939,-7.858953774777433
2015-08-10,33.26418113193219,7.311238155504531,24.364681728015682,-11.31155749704388,-80.96411630814988,93.56951077632614,71.13257462037083,-58.9054133886888,-125.943687693939,-14.844144746253885
